iter	Passed	Remaining
488	81974	6537
489	82039	6362
490	82098	6186
491	82167	6012
492	82228	5837
493	82286	5663
494	82350	5490
495	82419	5317
496	82492	5145
497	82570	4974
498	82638	4802
499	82711	4631
500	82785	4461
501	82893	4293
502	82962	4123
503	83063	3955
504	83147	3786
505	83228	3618
506	83303	3450
507	83374	3282
508	83443	3114
509	83517	2947
510	83583	2780
511	83656	2614
512	83724	2448
513	83792	2282
514	83867	2117
515	83943	1952
516	84012	1787
517	84081	1623
518	84145	1459
519	84209	1295
520	84265	1132
521	84282	968
522	84337	806
523	84391	644
524	84440	482
525	84484	321
526	84531	160
527	84579	0
