iter	Logloss
0	0.6903363637
1	0.6875846727
2	0.6846314839
3	0.6822472981
4	0.6795549393
5	0.6766218458
6	0.6743843215
7	0.6721268381
8	0.6693883623
9	0.6670217514
10	0.6641159058
11	0.6616304943
12	0.6591610227
13	0.6565381459
14	0.6539195606
15	0.6510389873
16	0.6485051428
17	0.6462476594
18	0.6440810476
19	0.6415701594
20	0.6394131524
21	0.6369703157
22	0.6349633081
23	0.6328526224
24	0.630471502
25	0.6280161994
26	0.6258001328
27	0.6239197595
28	0.6216022628
29	0.6195848329
30	0.6171362741
31	0.6147501128
32	0.6125923565
33	0.6103405952
34	0.6087384905
35	0.6064446313
36	0.6041054044
37	0.6018544606
38	0.5999931608
39	0.5978330885
40	0.5958011491
41	0.5941119875
42	0.5919362477
43	0.5901505607
44	0.5881579944
45	0.5863562993
46	0.5842326028
47	0.5822133337
48	0.5803914751
49	0.5783346721
50	0.5765502112
51	0.5747167042
52	0.5726885114
53	0.5708884171
54	0.5691501072
55	0.5671568598
56	0.5653188569
57	0.5633514949
58	0.5616872651
59	0.5598276683
60	0.5579782554
61	0.5559979507
62	0.5543211188
63	0.5524400302
64	0.5505862917
65	0.5489092214
66	0.5473824229
67	0.5459369251
68	0.5442741258
69	0.5425961699
70	0.5410117422
71	0.5393181869
72	0.5378363473
73	0.5364550182
74	0.534595217
75	0.5331201894
76	0.5312319824
77	0.5296297755
78	0.528220347
79	0.526664802
80	0.5253186907
81	0.5235554491
82	0.5221991539
83	0.520608902
84	0.5191654478
85	0.5176371166
86	0.5163940021
87	0.5147128786
88	0.5131199019
89	0.5115157195
90	0.5102108547
91	0.5087448529
92	0.5071560315
93	0.5057026318
94	0.5041848591
95	0.5028742382
96	0.5014236314
97	0.5005320481
98	0.4991305896
99	0.4976158142
100	0.4961357457
101	0.4947725705
102	0.4935891628
103	0.4925017697
104	0.4910196917
105	0.4897847176
106	0.488586562
107	0.4873763493
108	0.4860772746
109	0.4847643716
110	0.4834072249
111	0.4820684705
112	0.4812621049
113	0.4799551283
114	0.4785766261
115	0.4772413118
116	0.475970132
117	0.4746830804
118	0.4733675548
119	0.4724619729
120	0.4712786334
121	0.4699646405
122	0.4688213553
123	0.4675758907
124	0.4662795748
125	0.4651452473
126	0.4640636444
127	0.4628352097
128	0.4618077619
129	0.4605574608
130	0.459277153
131	0.4583335263
132	0.4572395597
133	0.4563009398
134	0.4553652491
135	0.4544056484
136	0.4533399854
137	0.4520066806
138	0.4508243288
139	0.4499268532
140	0.4489370414
141	0.4477690288
142	0.4466328962
143	0.4456214224
144	0.4444510937
145	0.4434308325
146	0.4421081884
147	0.4409904821
148	0.4398192678
149	0.4389140265
150	0.438058785
151	0.4372371946
152	0.4360803195
153	0.4349373068
154	0.433998142
155	0.4330900056
156	0.4319427013
157	0.4308879716
158	0.4301327978
159	0.4290221759
160	0.42792293
161	0.4271656786
162	0.4263775689
163	0.425483908
164	0.4242111615
165	0.4229939325
166	0.4221653938
167	0.421311651
168	0.4203289577
169	0.4194090026
170	0.4183065891
171	0.417136022
172	0.4161503996
173	0.4150998933
174	0.414116621
175	0.4130954402
176	0.4122086934
177	0.4111909185
178	0.410203525
179	0.4092035975
180	0.4082140241
181	0.4074628694
182	0.4065462521
183	0.4059323583
184	0.4048944201
185	0.4041945594
186	0.4035028049
187	0.4024585996
188	0.4015957969
189	0.400845732
190	0.3999800682
191	0.3989826611
192	0.3981838908
193	0.3974215644
194	0.396388667
195	0.3956479686
196	0.394808054
197	0.3941879272
198	0.3933238302
199	0.3923739025
200	0.3915497916
201	0.3908527919
202	0.3898859024
203	0.3890917642
204	0.3882238865
205	0.3874143873
206	0.3866095202
207	0.3857598645
208	0.384865318
209	0.3839446477
210	0.3830114092
211	0.3822758198
212	0.3815029689
213	0.3807120323
214	0.3798127856
215	0.3792202813
216	0.3783877577
217	0.3776938234
218	0.377005509
219	0.3763733591
220	0.3755671978
221	0.374697004
222	0.3739743233
223	0.3731021881
224	0.3724513054
225	0.3717192922
226	0.3711101668
227	0.3703491688
228	0.3695252623
229	0.368811948
230	0.3680684907
231	0.3673195158
232	0.3664985384
233	0.365780626
234	0.365120479
235	0.3644596509
236	0.3637128557
237	0.3631140164
238	0.3625069686
239	0.3619343894
240	0.3611131396
241	0.3603164809
242	0.3593463217
243	0.3587373665
244	0.3580979279
245	0.3574342387
246	0.3567485128
247	0.3560062477
248	0.3552527428
249	0.3546900409
250	0.3539284638
251	0.3532785688
252	0.3525023801
253	0.3517460142
254	0.3511498315
255	0.350624391
256	0.3500001771
257	0.3492639746
258	0.3488388743
259	0.3481841087
260	0.3474901744
261	0.3469118391
262	0.3462419169
263	0.3456152848
264	0.3451464517
265	0.3445973737
266	0.3439803123
267	0.3433479582
268	0.3428402288
269	0.3421988487
270	0.3416715349
271	0.3411654745
272	0.3407196999
273	0.3401388441
274	0.3395234517
275	0.3386931079
276	0.3380346298
277	0.3375531946
278	0.3368336814
279	0.3361923695
280	0.3354585171
281	0.3350853239
282	0.3343160493
283	0.3337077754
284	0.3332522256
285	0.3326052257
286	0.3320014477
287	0.3314005307
288	0.3305967876
289	0.3299869469
290	0.329245397
