Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.71,0.7697368421052632,0.8357142857142857,0.8013698630136986,0.6624404761904762
LightGBM,0.635,0.7278911564625851,0.7642857142857142,0.7456445993031359,0.619404761904762
CatBoost,0.67,0.7642857142857142,0.7642857142857142,0.7642857142857142,0.645
Stacking Ensemble,0.69,0.7635135135135135,0.8071428571428572,0.7847222222222222,0.6625
