Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.66,0.8103448275862069,0.6714285714285714,0.734375,0.68
Random Forest,0.71,0.7697368421052632,0.8357142857142857,0.8013698630136986,0.6624404761904762
Gradient Boosting,0.635,0.7310344827586207,0.7571428571428571,0.743859649122807,0.6252380952380951
Support Vector Machine,0.66,0.7769230769230769,0.7214285714285714,0.7481481481481481,0.6711309523809524
Decision Tree,0.615,0.7333333333333333,0.7071428571428572,0.72,0.5535714285714286
